Source_ID,Sym_Type,Var_Radius_mm,Var_Width_mm,Aux_Hex_Apothem,Width_Ratio,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20,Path_21,Path_22,Path_23,Path_24,Path_25,Path_26,Path_27,Path_28,Path_29,Path_30,Path_31,Path_32,Path_33,Path_34,Path_35,Path_36,Path_37,Path_38,Path_39,Path_40,Path_41,Path_42,Path_43,Path_44,Path_45,Path_46,Path_47,Path_48,Path_49,Path_50,Path_51,Path_52,Path_53,Path_54,Path_55,Path_56,Path_57,Path_58,Path_59,Path_60,Path_61
1.png,2,10,3.1133,8.6603,0.311,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,3.5567,8.6603,0.356,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,4,8.6603,0.4,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.01,0.866,0.01,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0144,0.866,0.014,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0189,0.866,0.019,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0233,0.866,0.023,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0278,0.866,0.028,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0322,0.866,0.032,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0367,0.866,0.037,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0411,0.866,0.041,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.0456,0.866,0.046,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,1,0.05,0.866,0.05,0.089489,0.095303,0.390789,0.001254,0,-0.198928,-0.384975,0.012882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.01,1.7321,0.005,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.02,1.7321,0.01,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.03,1.7321,0.015,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.04,1.7321,0.02,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.05,1.7321,0.025,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.06,1.7321,0.03,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.07,1.7321,0.035,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.08,1.7321,0.04,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.09,1.7321,0.045,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,2,0.1,1.7321,0.05,0.178978,0.190607,0.781578,0.002508,0,-0.397857,-0.76995,0.025764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,3,0.01,2.5981,0.003,0.268468,0.28591,1.172367,0.003762,0,-0.596785,-1.154925,0.038646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.png,2,3,0.0256,2.5981,0.009,0.268468,0.28591,1.172367,0.003762,0,-0.596785,-1.154925,0.038646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
