Angle,Frequency_GHz,S11_TE_Re,S11_TE_Im,S11_TM_Re,S11_TM_Im,S21_TE_Re,S21_TE_Im,S21_TM_Re,S21_TM_Im
20.0,4.26,-0.03676087009795242,-0.1875101277767889,-0.030874121116956508,-0.172325682535972,0.9628432475034876,-0.19083052861388933,0.968719618598767,-0.17585157757013925
20.0,4.28,-0.037163284631289935,-0.18849468500163774,-0.031215127347005166,-0.1732447015476227,0.9624368597298528,-0.19182982436268692,0.968374549515592,-0.17678629980737928
20.0,4.3,-0.03756878137582617,-0.18948070697495317,-0.031558797304315725,-0.1741653218861952,0.9620273897977827,-0.19283056990244896,0.968026797257595,-0.17772260920298133
20.0,4.32,-0.037977340463289586,-0.1904681894937848,-0.0319051469923827,-0.17508755602599282,0.9616148164559961,-0.19383277030433319,0.9676763471380103,-0.17866049658449698
20.0,4.34,-0.038389012634292764,-0.1914571374511231,-0.032254154480195585,-0.17601138212974854,0.9611991229286133,-0.19483641396970633,0.9673231782236549,-0.1795999864768058
20.0,4.36,-0.03880382043937803,-0.19244758500761264,-0.03260590474273718,-0.17693684275471447,0.9607802833284731,-0.19584153974689192,0.9669672735487086,-0.18054106911708623
20.0,4.38,-0.03922173504388454,-0.19343948517322027,-0.03296041112121429,-0.17786393148650845,0.9603582831243138,-0.19684811881655773,0.9666086120646683,-0.18148376882322526
20.0,4.4,-0.03964282184563358,-0.19443291098534118,-0.03331762077346906,-0.17879263312564136,0.9599330997452657,-0.19785617301585467,0.9662471746864673,-0.1824280927187518
20.0,4.42,-0.040067120096543965,-0.19542780220164147,-0.03367762431361803,-0.17972301266364538,0.9595047106725787,-0.19886570660745892,0.9658829422885102,-0.18337404782700759
20.0,4.44,-0.04049458521879403,-0.19642420920694723,-0.03404042389203489,-0.1806550027722233,0.9590730920791772,-0.1998767409270829,0.9655158989218672,-0.18432162421905457
20.0,4.46,-0.04092530481910379,-0.19742213278686674,-0.0344060489551419,-0.18158868135559755,0.9586382270478788,-0.20088926369970034,0.965146019974196,-0.18527084515361325
